dataset,column,count,mean,std,min,25%,50%,75%,max
events,EventCodeID,52851.0,3337.804771905924,1383.5527681734673,104.0,3941.0,3941.0,3941.0,6108.0
events,EventResultID,50448.0,105.12731921979068,37.05957100471787,6.0,119.0,119.0,119.0,185.0
events,AssociatedCountNo,364.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
events,DivisionID,52851.0,1.8393786304894892,0.367184825668281,1.0,2.0,2.0,2.0,2.0
events,EventCodeID.1,52851.0,3337.804771905924,1383.5527681734673,104.0,3941.0,3941.0,3941.0,6108.0
events,DivisionID.1,52851.0,1.8393786304894892,0.367184825668281,1.0,2.0,2.0,2.0,2.0
events,EventCode,52851.0,7195.256400068116,425.81285100147824,6073.0,7368.0,7368.0,7368.0,8080.0
events,EventCategoryID,52851.0,46.09184310609071,18.078758734508526,4.0,54.0,54.0,54.0,54.0
events,AssociatedCaseStatusID,52747.0,74.42180597948699,29.57002959010142,6.0,87.0,87.0,87.0,120.0
mental_health_events,BookingNumber,94336.0,1335709.2613106344,183014.88122364855,1000033.0,1203522.0,1344826.0,1509862.0,1617995.0
mental_health_events,MNI,94336.0,1618454.1480346846,1834306.7734333752,23.0,501503.0,1366221.5,1844235.0,8951503.0
mental_health_events,EventEntryTime,94336.0,1378.7350746268658,440.56601560848196,0.0,1044.0,1336.0,1644.0,2359.0
revocation,DivisionID,19256.0,1.3177710843373494,0.4656220369853602,1.0,1.0,1.0,2.0,2.0
revocation,CourtTypeID,19256.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
revocation,CaseTypeID,19256.0,118.89416285832988,56.99958329372719,80.0,80.0,80.0,203.0,203.0
revocation,CaseStatusID,19256.0,84.12728500207727,42.41123072409694,2.0,61.0,81.0,135.0,152.0
revocation,CaseStateID,19256.0,2.8244702949729956,0.47915302215989525,1.0,3.0,3.0,3.0,3.0
revocation,SealedFlag,19256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revocation,RestrictedFlag,19256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revocation,LatestCasePhaseID,0.0,,,,,,,
revocation,LatestAgeofPendingComplaint,0.0,,,,,,,
revocation,CriminalDefendantID,19256.0,523247.4031990029,301901.9480292912,39.0,262124.0,522507.5,785441.0,1054286.0
revocation,PartyID,19256.0,2020880.164312422,1240023.7720440372,1863.0,1045683.75,1248797.5,3488454.75,4115194.0
revocation,PersonID,19256.0,447070.6637411716,499674.6342061444,69724.0,271969.75,366944.0,422050.5,2932565.0
revocation,MNI,19256.0,1941564.608797258,2125027.3472106317,38.0,951219.25,1481567.0,1804352.75,8945143.0
revocation,OriginalBookingNumber,19231.0,1134785.3864593625,204928.45025934774,34383.0,1015105.5,1137067.0,1304064.5,1611970.0
revocation,CalendarDaysBookingtoIndictFiling,17287.0,58.0061896222595,86.34434529389735,1.0,20.0,33.0,63.0,2054.0
revocation,JailCaseTypeID,19256.0,4.248909430826755,0.8898275955092667,1.0,3.0,5.0,5.0,6.0
revocation,HighestLevelChargeCount,19255.0,1.041391846273695,0.23352661182719142,1.0,1.0,1.0,1.0,5.0
revocation,HighestLevelDispositionCount,19252.0,1.1116247662580512,0.6634298224049154,1.0,1.0,1.0,1.0,14.0
revocation,CaseChargeID,19256.0,536084.8480473618,307396.48148968857,199.0,270287.0,541596.0,804901.25,1075123.0
revocation,CountNumber,19256.0,1.2351994183631076,1.0472548684552234,1.0,1.0,1.0,1.0,24.0
revocation,CsMgmtChargeID,19256.0,1104.279912754466,1323.606286524764,25.0,114.0,337.0,1526.0,7050.0
revocation,CurrentChargeStateID,19256.0,3.0401433319484834,2.0800891008771325,1.0,2.0,2.0,2.0,10.0
revocation,OriginalDispositionPleaID,6904.0,1.8842699884125145,0.35471038653246156,1.0,2.0,2.0,2.0,5.0
revocation,OriginalDispositionTrialTypeID,6108.0,1.9913228552717748,0.0927537622466398,1.0,2.0,2.0,2.0,2.0
revocation,OriginalDispositionVerdictID,390.0,1.341025641025641,0.9480647176498109,1.0,1.0,1.0,1.0,6.0
revocation,OriginalDispositionMethodID,19256.0,3.8847631906938096,1.504313705911529,1.0,2.0,5.0,5.0,5.0
revocation,OriginalDispositionID,19253.0,62.67786838414793,41.80545589661467,1.0,20.0,72.0,101.0,181.0
revocation,OriginalDispositionEvent,19253.0,8336.46491455877,456.68023527652053,6529.0,8010.0,8034.0,9002.0,9038.0
revocation,OriginalSentenceID,6900.0,18.303768115942027,4.734206615827305,3.0,20.0,20.0,20.0,20.0
revocation,LatestDispositionMethodID,16217.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
revocation,LatestDispositionID,16128.0,58.78559027777778,47.868979900944474,4.0,12.0,75.0,102.0,171.0
revocation,LatestSentenceID,14411.0,15.750676566511693,5.221274348527077,2.0,14.0,16.0,20.0,20.0
revocation,EarliestKnownChargeID,19256.0,904.3391670128791,1167.6249630418029,24.0,114.0,323.0,1513.0,7050.0
revocation,CriminalDefendantHistoryID,19256.0,2563013.422517657,442964.37714047666,1066662.0,2569122.0,2722855.0,2774041.75,3093449.0
revocation,ActivationEventID,19255.0,4134.641859257335,849.3672498758118,28.0,3557.0,3559.0,5376.0,5559.0
revocation,ActivationTypeID,19255.0,32.998649701376266,0.05763819242048026,31.0,33.0,33.0,33.0,34.0
revocation,AssociatedBookingNumber,19256.0,1238337.680515164,159163.98533394118,1000030.0,1113518.25,1226251.5,1347864.75,1617763.0
revocation,InactivityDays,17801.0,81.30161226897366,214.01092480301298,0.0,4.0,15.0,53.0,2210.0
revocation,CalendarDaysFilingtoCurrent,2224.0,456.87589928057554,523.1045700906782,1.0,76.0,224.0,687.0,2296.0
revocation,AgeofCase,2224.0,182.57688848920864,370.16990959118004,1.0,1.0,19.0,141.75,2296.0
